record_timestamp,01.csvCHW.FLOW,01.csvCHWR.TEMP.1,01.csvCHWS.TEMP.1,01.csvCWR.TEMP.1,01.csvCWS.TEMP.1,01CoolingLoad,01cop
2019-10-02 13:30:00+00:00,124.186,11.4824,6.97995,30.5439,33.8242,2348.393274,7.431624285
2019-10-02 13:35:00+00:00,122.097,11.4424,7.01995,30.764,34.0042,2267.865086,7.176788247
2019-10-02 13:40:00+00:00,120.691,11.3824,6.99995,30.704,33.8442,2221.473546,7.074756517
2019-10-02 13:45:00+00:00,120.525,11.4424,7.01995,30.724,34.0042,2238.666302,7.10687715
2019-10-02 13:50:00+00:00,119.914,11.5024,6.97995,30.824,34.1242,2277.681291,7.117754035
2019-10-02 13:55:00+00:00,120.857,11.5224,6.97995,30.924,34.1042,2305.744895,7.205452795
2019-10-02 14:00:00+00:00,119.433,11.5624,7.05996,31.024,34.2442,2258.507649,7.035849375
2019-10-02 14:05:00+00:00,117.769,11.4824,6.95995,30.944,34.1842,2236.938539,6.947014096
2019-10-02 14:10:00+00:00,118.99,11.5624,7.01995,31.084,34.3643,2270.125727,7.006560886
2019-10-02 14:15:00+00:00,119.933,11.5224,7.05996,31.184,34.3643,2247.814029,6.937697622
2019-10-02 14:20:00+00:00,125.185,11.6024,7.05996,31.184,34.6243,2388.310476,7.045163646
2019-10-02 14:25:00+00:00,121.357,11.5024,6.99995,31.224,34.5443,2294.896064,6.89157977
2019-10-02 14:30:00+00:00,122.54,11.4424,6.99995,31.364,34.6043,2286.386857,7.013456615
2019-10-02 14:35:00+00:00,126.036,11.5424,7.03996,31.444,34.8643,2383.372017,6.88835843
2019-10-02 14:40:00+00:00,124.334,11.4024,6.99995,31.364,34.6843,2298.971717,6.86260214
2019-10-02 14:45:00+00:00,121.764,11.4824,6.97995,31.164,34.5643,2302.592552,6.873410602
2019-10-02 14:50:00+00:00,120.691,11.5024,6.91995,31.044,34.3242,2322.853986,7.08187191
2019-10-02 14:55:00+00:00,121.061,11.5824,7.07996,30.844,34.1642,2289.293533,7.043980102
2019-10-02 15:00:00+00:00,121.505,11.5624,6.95995,30.664,33.9042,2348.726886,7.294182877
2019-10-02 15:05:00+00:00,121.412,11.5624,6.95995,30.5039,33.9042,2346.929169,7.199169232
2019-10-02 15:10:00+00:00,120.007,11.5624,6.97995,30.3439,33.6242,2309.689524,7.332347695
2019-10-02 15:15:00+00:00,117.972,11.4824,6.87994,29.9639,33.2242,2280.437927,7.332597835
2019-10-02 15:20:00+00:00,116.752,11.6224,6.93995,29.7039,32.9841,2296.07869,7.552890428
2019-10-02 15:25:00+00:00,119.082,11.6024,6.99995,29.5439,32.7641,2301.889594,7.724461724
2019-10-02 15:30:00+00:00,120.34,11.6224,6.93995,29.3839,32.7241,2366.641339,7.634326899
2019-10-02 15:35:00+00:00,121.264,11.4824,6.95995,29.4439,32.6641,2303.323583,7.703423353
2019-10-02 15:40:00+00:00,119.415,11.4824,6.93995,29.4039,32.7241,2278.234,7.469619673
2019-10-02 15:45:00+00:00,121.468,11.5224,7.03996,29.5839,32.8441,2286.786692,7.497661285
2019-10-02 15:50:00+00:00,121.301,11.4624,6.97995,29.8039,33.0241,2283.647803,7.487369847
2019-10-02 15:55:00+00:00,121.449,11.4624,7.01995,30.0839,33.3642,2266.030662,7.193748134
2019-10-02 16:00:00+00:00,122.226,11.4824,6.97995,30.3039,33.4642,2311.329106,7.45590034
2019-10-02 16:05:00+00:00,121.246,11.4824,6.93995,30.4639,33.7242,2313.166349,7.29705473
2019-10-02 16:10:00+00:00,122.115,11.4624,6.97995,30.4239,33.7042,2298.972403,7.275229125
2019-10-02 16:15:00+00:00,122.004,11.4824,7.01995,30.3639,33.6842,2286.634349,7.236184649
2019-10-02 16:20:00+00:00,121.024,11.4224,7.01995,30.4039,33.6242,2237.768857,7.218609216
2019-10-02 16:25:00+00:00,122.041,11.4824,7.01995,30.3239,33.5842,2287.327814,7.215545154
2019-10-02 16:30:00+00:00,121.301,11.4824,7.01995,30.3639,33.6242,2273.458519,7.240313756
2019-10-02 16:35:00+00:00,121.986,11.4424,6.97995,30.5039,33.7842,2286.296988,7.144678087
2019-10-02 16:40:00+00:00,120.894,11.4824,6.97995,30.624,33.8842,2286.140599,7.099815526
2019-10-02 16:45:00+00:00,122.281,11.4824,6.97995,30.644,33.9042,2312.369171,7.226153661
2019-10-02 16:50:00+00:00,121.986,11.4824,6.97995,30.5039,33.8042,2306.790636,7.186263663
2019-10-02 16:55:00+00:00,121.893,11.4824,6.99995,30.4039,33.6842,2294.792967,7.285057038
2019-10-02 17:00:00+00:00,121.875,11.4824,6.93995,30.3039,33.6242,2325.166594,7.288923491
2019-10-02 17:05:00+00:00,116.178,11.4424,6.89995,30.2239,33.4242,2216.477576,7.173066588
2019-10-02 17:10:00+00:00,114.958,11.5624,6.99995,30.1839,33.2842,2202.858534,7.367419846
2019-10-02 17:15:00+00:00,110.279,11.5824,6.93995,30.0439,33.1242,2150.251923,7.313782051
2019-10-02 17:20:00+00:00,110.112,11.6624,7.01995,30.0239,33.1242,2146.995708,7.156652362
2019-10-02 17:25:00+00:00,109.354,11.6224,6.95995,29.9439,32.9441,2141.401741,7.409694604
2019-10-02 17:30:00+00:00,111.037,11.7624,7.01995,29.9839,33.1642,2211.667167,7.204127579
2019-10-02 17:35:00+00:00,111.999,11.6024,6.97995,30.0039,33.0642,2174.381066,7.370783274
2019-10-02 17:40:00+00:00,111.555,11.6224,6.93995,29.9039,32.9841,2193.872981,7.288614555
2019-10-02 17:45:00+00:00,107.246,11.5824,6.97995,29.9639,32.9041,2073.096281,7.299634793
2019-10-02 17:50:00+00:00,93.8379,11.6024,7.11996,29.9839,32.7641,1766.615577,6.377673564
2019-10-02 17:55:00+00:00,93.4125,11.5824,6.91995,29.8039,32.4241,1829.230665,7.20169553
2019-10-02 18:00:00+00:00,88.937,11.6624,6.83994,29.7239,32.2641,1801.359525,6.982013663
2019-10-02 18:05:00+00:00,76.879,11.6224,7.58,29.7839,31.624,1305.257812,5.750034416
2019-10-02 18:10:00+00:00,74.7707,11.5824,6.49992,29.6039,31.9441,1596.086467,5.977851936
2019-10-02 18:15:00+00:00,64.6361,11.5224,6.63993,29.5839,31.444,1325.452041,5.366202593
2019-10-02 18:20:00+00:00,64.5066,11.3624,7.11996,29.3038,31.004,1149.394596,5.085816798
2019-10-02 18:25:00+00:00,62.2873,11.1424,6.85994,29.2038,30.864,1120.320057,5.001428827
2019-10-02 18:30:00+00:00,65.3758,11.1824,7.09996,29.1438,30.764,1120.94968,5.213719442
2019-10-02 18:35:00+00:00,102.549,11.9825,8.00003,29.3038,31.184,1715.272927,6.861091709
